ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,CustomStdWidth,CustomStdHeight,CustomStdLength
14,2016,7,5,CNTRL,PHX,1213,40,41,42
7,2014,11,3,CNTRL,ONT,11,10,6,12
8,2017,2,3,CNTRL,ONT,1,12,9,14
9,2016,12,18,CNTRL,CKG,106,1,1,1
8,2016,3,3,CNTRL,HKG,1930,104,115,120
7,2016,1,7,CNTRL,TSN,68,19,11,18
7,2017,4,17,CNTRL,ELP,132,3,3,3
8,2014,9,18,CNTRL,CKG,150,1,1,1
14,2015,12,7,CNTRL,YYZ,9,25,20,30
7,2015,1,5,CNTRL,SHE,200,20,10,30
13,2017,8,5,CNTRL,SIN,2,31,33,32
141,2016,10,17,CNTRL,SFO,2,7,9,5
9,2016,11,5,CNTRL,SDF,337,33,31,36
7,2015,6,5,CNTRL,AMS,2208,100,156,120
8,2015,2,17,CNTRL,HOU,26,20,14,24
9,2016,1,5,CNTRL,SHE,200,20,10,30
7,2015,1,3,CNTRL,SJU,3754,42,50,48
14,2015,7,9,CNTRL,BOS,1789,0,0,0
12,2016,4,9,CNTRL,DLC,10860,0,0,0
7,2016,1,5,CNTRL,AMS,1,14,33,27
9,2017,11,5,CNTRL,MEX,1186,35,5,30
14,2015,1,5,CNTRL,AMS,341,62,27,63
11,2016,11,5,CNTRL,SHA,2,31,10,52
19,2016,11,7,CNTRL,IST,171728,0,0,0
7,2015,9,3,CNTRL,ONT,2,9,1,12
7,2016,6,9,CNTRL,LAX,4662,0,0,0
8,2017,4,4,CNTRL,RTM,18280,0,0,0
18,2015,4,3,CNTRL,STL,13605,40,42,48
17,2017,4,17,CNTRL,ELP,62,40,11,48
23,2016,1,7,CNTRL,YYZ,2,25,20,31
10,2016,7,7,CNTRL,MKC,4,13,20,13
8,2016,5,17,CNTRL,SFO,9,7,9,5
7,2015,5,5,CNTRL,SDF,595,25,34,33
10,2016,2,18,CNTRL,CKG,309,1,1,1
11,2016,1,9,CNTRL,BOS,3234,0,0,0
7,2016,8,5,CNTRL,SDF,496,24,26,39
8,2015,6,7,CNTRL,SAN,342,40,26,48
11,2014,9,18,CNTRL,CKG,15,1,1,1
11,2016,9,17,CNTRL,HOU,1,12,12,14
7,2016,6,3,CNTRL,ONT,7,10,6,12
8,2016,1,7,CNTRL,PHX,86,14,11,20
33,2016,8,18,CNTRL,HKG,1,21,27,30
10,2017,8,17,CNTRL,ELP,7,15,12,19
10,2016,12,5,CNTRL,SDF,728,29,26,29
16,2016,4,9,CNTRL,SGF,4899,0,0,0
24,2016,3,18,CNTRL,CKG,60,100,46,120
12,2016,11,17,CNTRL,HOU,1,10,3,15
9,2015,4,17,CNTRL,HOU,1,12,12,14
9,2017,6,17,CNTRL,ELP,273,3,3,3
94,2016,5,17,CNTRL,HOU,1,12,12,14
7,2016,2,17,CNTRL,HOU,4,11,11,14
8,2016,6,7,CNTRL,SEA,320,40,36,24
7,2017,4,18,CNTRL,CKG,96,1,1,1
8,2017,1,7,CNTRL,YYZ,2,25,20,31
29,2016,11,7,CNTRL,YYZ,2,25,20,31
8,2015,10,7,CNTRL,SEA,243,40,28,24
27,2017,10,18,CNTRL,CKG,11,1,1,1
15,2016,8,9,CNTRL,SGF,8573,0,0,0
8,2016,5,9,CNTRL,BOS,1,0,0,0
7,2015,2,3,CNTRL,MEM,36074,43,57,49
13,2015,4,3,CNTRL,ONT,15,12,9,14
8,2017,12,18,CNTRL,CKG,66,100,60,120
7,2015,7,17,CNTRL,HOU,13,16,12,18
7,2015,4,4,CNTRL,LEH,90025,0,0,0
7,2015,2,3,CNTRL,SJU,25657,40,45,46
9,2015,9,7,CNTRL,SEA,243,40,28,24
7,2016,6,5,CNTRL,SDF,496,24,26,39
9,2017,1,4,CNTRL,SIN,1650,100,131,120
7,2017,6,8,CNTRL,SLC,77,51,41,66
8,2017,4,8,CNTRL,SLC,77,51,41,66
11,2015,8,9,CNTRL,SEL,10051,0,0,0
8,2014,12,7,CNTRL,PHX,2,9,4,12
8,2015,2,17,CNTRL,HOU,1,12,1,14
8,2015,3,7,CNTRL,PHX,9,10,10,10
7,2016,10,9,CNTRL,BOS,3283,0,0,0
11,2016,3,17,CNTRL,HOU,4,12,12,14
7,2016,7,18,CNTRL,CKG,97,1,1,1
25,2015,2,17,CNTRL,HOU,4,12,12,14
7,2015,4,7,CNTRL,PHX,106,14,16,19
7,2015,6,7,CNTRL,SAN,187,40,26,48
7,2017,3,7,CNTRL,PHX,2,10,5,10
10,2014,8,18,CNTRL,SHA,62,100,50,120
15,2016,8,5,CNTRL,SIN,1,20,31,20
14,2015,12,5,CNTRL,SHE,3000,40,30,50
