ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,CustomStdWidth,CustomStdHeight,CustomStdLength
7,2015,7,18,CNTRL,CKG,501,94KZ,250,KG,KG,CLT,US,CLT,CKG,CN,CKG,1,1,1
7,2015,7,18,CNTRL,CKG,501,94KZ,250,KG,KG,CLT,US,CLT,CKG,CN,CKG,100,118,120
7,2015,7,18,CNTRL,CKG,601,94KZ,300,KG,KG,OMA,US,OMA,CKG,CN,CKG,100,66,120
7,2015,7,18,CNTRL,CKG,601,94KZ,300,KG,KG,OMA,US,OMA,CKG,CN,CKG,100,118,120
7,2015,8,7,CNTRL,BOM,214,OFN,1,KG,,HOU,US,ELP,BOM,IN,BOM,0,0,0
7,2015,8,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12,1,14
7,2015,8,17,CNTRL,HOU,13,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20
7,2015,8,17,CNTRL,SFO,2,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5
7,2015,8,17,CNTRL,SFO,4,MS,1,LB,LB,YYC,CA,YYC,SFO,US,SFO,7,9,5
7,2015,8,18,CNTRL,CKG,4,94KZ,1,KG,KG,YHZ,CA,YHZ,CKG,CN,CKG,7,33,51
7,2015,8,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,15,32,47
7,2015,8,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,8,18,CNTRL,CKG,8,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1,1,1
7,2015,8,18,CNTRL,CKG,89,94KZ,30,KG,KG,ORD,US,ORD,CKG,CN,CKG,1,1,1
7,2015,8,18,CNTRL,CKG,2756,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1
7,2015,8,18,CNTRL,CKG,2756,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,75,120
7,2015,8,18,CNTRL,CKG,2756,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,100,104,120
7,2015,8,18,CNTRL,CKG,19842,94KZ,800,LB,KG,IND,US,IND,CKG,CN,CKG,1,1,1
7,2015,9,3,CNTRL,ONT,2,MS,1,LB,,MIA,US,MIA,ONT,US,ONT,9,1,12
7,2015,9,7,CNTRL,PHX,2,3776,1,LB,KG,MIL,IT,MIL,PHX,US,PHX,10,4,10
7,2015,9,7,CNTRL,YYZ,2,MS,1,KG,LB,MDT,US,MDT,YYZ,CA,YYZ,25,20,31
7,2015,9,17,CNTRL,HOU,11,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16,12,20
