ShipmentCount,MonthNumber
8,3
8,3
8,3
8,3
9,3
9,3
10,3
10,3
10,3
13,3
13,3
7,2
7,2
7,2
7,2
8,2
8,2
8,2
8,2
9,2
9,2
9,2
10,2
10,2
11,2
7,1
7,1
7,1
7,1
8,1
9,1
9,1
9,1
9,1
10,1
11,1
15,1
16,1
7,12
8,12
10,12
18,12
7,11
8,11
9,11
10,11
11,11
32,11
7,10
8,10
13,10
14,10
23,10
7,9
8,9
10,9
11,9
35,9
7,8
8,8
8,8
8,8
9,8
10,8
13,8
7,7
7,7
7,7
14,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
8,6
8,6
10,6
7,5
7,5
7,5
8,5
8,5
10,5
12,5
14,5
19,5
37,5
7,4
8,4
10,4
10,4
12,4
17,4
33,4
7,3
7,3
8,3
9,3
10,3
10,3
12,3
40,3
7,2
8,2
10,2
13,2
14,2
7,1
7,1
7,1
7,1
8,1
8,1
8,1
9,1
11,1
11,1
24,1
7,12
7,12
8,12
9,12
10,12
10,12
11,12
14,12
7,11
8,11
8,11
8,11
9,11
9,11
10,11
10,11
14,11
7,10
7,10
7,10
8,10
10,10
10,10
7,9
7,9
7,9
9,9
9,9
11,9
7,8
8,8
11,8
12,8
7,7
8,7
7,6
8,6
8,6
9,6
11,6
12,6
17,6
7,5
8,5
10,5
14,5
17,5
24,5
7,4
8,4
9,4
9,4
10,4
12,4
13,4
19,4
7,3
9,3
10,3
10,3
10,3
11,3
12,3
14,3
14,3
15,3
18,3
40,3
7,2
7,2
10,2
10,2
10,2
12,2
12,2
14,2
7,1
7,1
8,1
9,1
11,1
11,1
12,1
14,1
28,1
8,2
8,2
12,2
14,2
7,1
7,1
8,1
13,1
15,1
8,10
7,9
7,9
8,9
7,12
7,9
11,9
7,8
7,8
8,8
7,7
7,6
7,6
7,6
8,6
9,6
7,5
9,5
7,4
8,4
8,4
8,4
9,4
9,4
11,4
7,3
7,3
7,3
9,3
7,2
7,2
8,2
8,2
11,2
7,1
7,1
7,1
7,1
9,1
7,11
8,11
7,10
9,8
7,7
7,7
8,7
7,6
7,5
7,5
7,3
7,2
8,2
10,12
11,12
19,11
7,9
7,8
7,8
7,8
7,7
9,6
7,5
14,5
7,4
10,4
9,3
10,3
7,1
8,1
8,1
8,2
7,1
9,1
7,11
8,8
11,8
13,8
7,7
11,7
14,7
21,7
7,5
7,3
10,12
7,10
8,8
9,8
10,8
15,8
24,8
8,7
10,7
12,7
7,6
7,6
7,6
9,6
10,6
14,6
7,5
7,5
8,5
10,5
26,5
12,4
12,4
16,4
7,3
7,3
7,3
9,3
10,3
13,3
13,3
19,3
68,3
14,2
15,2
16,2
20,2
7,1
11,1
9,9
7,7
7,3
10,1
8,12
9,12
8,6
22,2
7,1
25,1
7,12
7,12
7,12
8,12
