ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
10,2017,6,18,CNTRL,CKG,144
12,2017,6,18,CNTRL,CKG,162
23,2017,6,18,CNTRL,CKG,20
70,2017,6,18,CNTRL,CKG,2
84,2017,6,18,CNTRL,CKG,30
113,2017,6,18,CNTRL,CKG,25
208,2017,6,18,CNTRL,CKG,3
7,2017,5,18,CNTRL,KUB,7
15,2017,5,18,CNTRL,CKG,91
18,2017,2,18,CNTRL,CKG,122
10,2017,1,18,CNTRL,CKG,177
29,2017,1,18,CNTRL,HKG,2
7,2018,2,18,CNTRL,CKG,102
11,2018,2,18,CNTRL,CKG,74
29,2018,2,18,CNTRL,CKG,63
7,2018,1,18,CNTRL,CKG,122
9,2018,1,18,CNTRL,CKG,85
14,2018,1,18,CNTRL,CKG,80
30,2018,1,18,CNTRL,CKG,8
