YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
2017,7,18,CNTRL,CKG,75
2017,6,18,CNTRL,CKG,524
2017,6,18,CNTRL,CKG,200
2017,6,18,CNTRL,CKG,144
2017,6,18,CNTRL,CKG,162
2017,6,18,CNTRL,CKG,20
2017,6,18,CNTRL,CKG,2
2017,6,18,CNTRL,CKG,30
2017,6,18,CNTRL,CKG,25
2017,6,18,CNTRL,CKG,3
2017,5,18,CNTRL,KUB,7
2017,5,18,CNTRL,CKG,91
2017,2,18,CNTRL,CKG,122
2017,1,18,CNTRL,CKG,177
2017,1,18,CNTRL,HKG,2
2018,2,18,CNTRL,CKG,102
2018,2,18,CNTRL,CKG,74
2018,2,18,CNTRL,CKG,63
2018,1,18,CNTRL,CKG,122
2018,1,18,CNTRL,CKG,85
2018,1,18,CNTRL,CKG,80
2018,1,18,CNTRL,CKG,8
