ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG
11,2015,3,18,CNTRL,CKG,43
10,2017,11,5,CNTRL,SIN,6
47,2016,8,18,CNTRL,CKG,34
9,2016,2,5,CNTRL,CLT,4
9,2015,7,17,CNTRL,PRG,1
7,2016,10,17,CNTRL,SFO,9
10,2016,11,17,CNTRL,SFO,4
19,2017,11,8,CNTRL,SLC,77
37,2016,3,18,CNTRL,CKG,65
24,2016,1,7,CNTRL,YYZ,2
15,2016,7,18,CNTRL,CKG,81
9,2015,12,7,CNTRL,PEN,3
7,2015,8,3,CNTRL,ONT,20
18,2017,11,5,CNTRL,SHA,4
8,2017,7,18,CNTRL,CKG,141
11,2017,1,18,CNTRL,CKG,85
8,2014,11,7,CNTRL,SAN,606
8,2016,10,17,CNTRL,SIN,2
7,2017,8,5,CNTRL,SDF,494
13,2016,11,5,CNTRL,SHA,5
8,2016,10,18,CNTRL,CKG,70
10,2017,9,18,CNTRL,CKG,136
47,2017,10,17,CNTRL,HOU,3
13,2016,12,5,CNTRL,SDF,496
8,2016,12,17,CNTRL,ELP,209
7,2015,7,5,CNTRL,SDF,606
37,2015,8,17,CNTRL,HOU,4
11,2015,6,17,CNTRL,HOU,132
7,2018,2,18,CNTRL,CKG,187
9,2016,4,17,CNTRL,HOU,14
7,2015,6,8,CNTRL,ORD,157
12,2015,10,3,CNTRL,STL,13605
8,2017,5,18,CNTRL,CKG,92
17,2016,4,3,CNTRL,ONT,20
78,2016,12,18,CNTRL,CKG,5
59,2014,12,17,CNTRL,HOU,7
7,2018,1,17,CNTRL,PRG,2
12,2016,11,17,CNTRL,ELP,86
18,2017,1,18,CNTRL,CKG,71
7,2017,1,7,CNTRL,PHX,4
16,2016,8,17,CNTRL,HOU,27
15,2016,12,5,CNTRL,SIN,7
23,2017,2,18,CNTRL,CKG,45
7,2015,5,18,CNTRL,CKG,125
8,2017,11,7,CNTRL,YYZ,1
8,2017,7,18,CNTRL,CKG,195
8,2016,10,7,CNTRL,PEN,1
25,2016,8,18,CNTRL,CKG,76
7,2017,8,17,CNTRL,HOU,14
12,2017,7,17,CNTRL,ELP,196
7,2015,5,8,CNTRL,ORD,441
7,2016,11,5,CNTRL,SDF,728
7,2016,2,18,CNTRL,KUB,51
10,2016,7,18,CNTRL,CKG,132
7,2016,5,7,CNTRL,SEA,320
8,2014,9,7,CNTRL,SAN,606
16,2016,4,17,CNTRL,HOU,12
19,2015,12,5,CNTRL,SIN,1
10,2017,2,5,CNTRL,SDF,728
9,2015,7,18,CNTRL,CKG,353
18,2015,3,18,CNTRL,CKG,82
25,2016,6,5,CNTRL,SIN,1
9,2014,10,17,CNTRL,SIN,1
8,2017,1,17,CNTRL,ELP,112
10,2014,8,18,CNTRL,CKG,71
10,2015,4,18,CNTRL,CKG,57
12,2017,9,17,CNTRL,HOU,7
12,2016,11,5,CNTRL,SDF,485
7,2016,8,18,CNTRL,CKG,546
26,2016,5,9,CNTRL,DLC,10860
11,2016,7,17,CNTRL,HOU,27
10,2015,3,17,CNTRL,HOU,20
12,2017,2,17,CNTRL,ELP,187
7,2016,7,3,CNTRL,ONT,20
11,2015,3,5,CNTRL,SHE,87
51,2016,7,17,CNTRL,HOU,4
10,2017,7,17,CNTRL,ELP,157
9,2014,12,7,CNTRL,PEN,1
17,2015,2,17,CNTRL,HOU,22
8,2015,10,7,CNTRL,SEA,243
8,2015,3,18,CNTRL,CKG,195
15,2015,8,17,CNTRL,HOU,24
8,2015,5,5,CNTRL,SHE,1500
25,2017,12,18,CNTRL,CKG,91
9,2017,6,17,CNTRL,ELP,203
11,2016,12,17,CNTRL,SIN,1
7,2017,9,7,CNTRL,TPE,7
7,2015,9,7,CNTRL,PEN,2
7,2016,7,18,CNTRL,CKG,85
9,2016,6,9,CNTRL,DLC,11540
9,2015,10,5,CNTRL,SIN,5
16,2015,11,5,CNTRL,AMS,1
10,2017,1,18,CNTRL,CKG,63
9,2017,8,18,CNTRL,CKG,132
11,2014,10,5,CNTRL,SDF,4
12,2015,2,17,CNTRL,HOU,29
9,2015,4,17,CNTRL,HKG,2
134,2016,3,17,CNTRL,SFO,2
37,2017,2,5,CNTRL,SHA,2
8,2014,10,18,CNTRL,CKG,97
27,2017,2,17,CNTRL,HOU,4
13,2017,2,5,CNTRL,SIN,4
7,2017,9,5,CNTRL,SIN,3
8,2016,2,5,CNTRL,SIN,4
8,2015,9,18,CNTRL,CKG,154
15,2015,7,5,CNTRL,SDF,496
18,2014,10,17,CNTRL,HOU,66
7,2017,11,17,CNTRL,SIN,41
13,2015,4,17,CNTRL,SIN,1
13,2014,12,5,CNTRL,SHE,1500
7,2016,10,5,CNTRL,SDF,569
21,2015,6,17,CNTRL,HOU,24
18,2015,6,5,CNTRL,AMS,1
18,2015,3,18,CNTRL,CKG,26
13,2015,11,18,CNTRL,CKG,80
11,2015,5,17,CNTRL,HOU,20
17,2016,5,17,CNTRL,ELP,51
13,2016,4,5,CNTRL,PHX,1221
11,2017,3,17,CNTRL,ELP,62
44,2015,2,17,CNTRL,HOU,13
13,2016,7,18,CNTRL,CKG,80
7,2017,1,18,CNTRL,CKG,178
47,2016,4,18,CNTRL,CKG,50
66,2015,4,17,CNTRL,HOU,4
16,2017,2,17,CNTRL,ELP,57
7,2017,8,17,CNTRL,ELP,40
10,2016,8,17,CNTRL,ELP,51
12,2014,10,18,CNTRL,KUB,59
10,2017,12,18,CNTRL,KUB,42
7,2016,11,5,CNTRL,SDF,608
8,2018,2,5,CNTRL,CLT,7
20,2017,6,18,CNTRL,CKG,77
55,2017,4,5,CNTRL,SHA,2
17,2017,5,17,CNTRL,ELP,60
8,2015,9,18,CNTRL,CKG,215
12,2014,9,17,CNTRL,HOU,143
8,2016,6,7,CNTRL,SEA,320
7,2017,8,18,CNTRL,KUB,54
55,2017,12,18,CNTRL,CKG,47
8,2017,11,7,CNTRL,YYZ,6
14,2017,5,8,CNTRL,SLC,77
9,2017,12,18,CNTRL,CKG,134
7,2015,12,4,CNTRL,MTY,10650
7,2017,12,18,CNTRL,KUB,34
23,2016,11,18,CNTRL,CKG,20
37,2016,8,18,CNTRL,CKG,35
10,2016,3,17,CNTRL,HOU,13
193,2017,1,17,CNTRL,HOU,1
14,2015,3,5,CNTRL,SDF,496
12,2014,10,18,CNTRL,CKG,2723
9,2016,7,17,CNTRL,ELP,203
20,2015,5,5,CNTRL,SIN,2
12,2017,10,5,CNTRL,SIN,2
11,2016,10,18,CNTRL,KUB,3
7,2015,2,5,CNTRL,AMS,104
9,2016,3,18,CNTRL,CKG,622
10,2015,1,10,CNTRL,LON,14
9,2018,2,18,CNTRL,CKG,121
32,2015,3,17,CNTRL,HOU,1
17,2016,2,17,CNTRL,HOU,35
7,2016,2,18,CNTRL,CKG,17
45,2015,9,18,CNTRL,CKG,61
12,2017,9,17,CNTRL,ELP,35
17,2017,5,5,CNTRL,SIN,1
7,2016,5,5,CNTRL,SIN,3
133,2016,4,17,CNTRL,SFO,2
7,2014,10,17,CNTRL,HOU,73
15,2017,5,5,CNTRL,CLT,11
9,2015,10,5,CNTRL,SZX,9557
7,2016,10,9,CNTRL,BOS,3283
8,2016,9,18,CNTRL,KUB,26
7,2017,12,7,CNTRL,TPE,3
25,2016,9,18,CNTRL,CKG,76
18,2016,2,17,CNTRL,HOU,31
10,2015,4,18,CNTRL,CKG,139
10,2017,10,5,CNTRL,SDF,496
7,2015,2,17,CNTRL,HOU,35
26,2015,7,18,CNTRL,CKG,41
25,2014,10,7,CNTRL,PHX,2
33,2016,4,18,CNTRL,CKG,59
7,2016,10,8,CNTRL,ORD,300
8,2015,8,17,CNTRL,HOU,26
11,2016,11,5,CNTRL,SDF,476
8,2016,5,5,CNTRL,SDF,4
10,2015,3,7,CNTRL,SAN,606
8,2014,12,5,CNTRL,SDF,728
12,2017,9,5,CNTRL,SIN,2
7,2016,3,5,CNTRL,AMS,2
7,2015,11,18,CNTRL,CKG,551
