ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
10,2015,9,5,CNTRL,SDF,496
15,2015,9,5,CNTRL,AMS,2
16,2015,9,5,CNTRL,SIN,1
28,2015,9,5,CNTRL,AMS,1
7,2015,8,5,CNTRL,AMS,5
7,2015,8,5,CNTRL,AMS,6
7,2015,8,5,CNTRL,AMS,15
7,2015,8,5,CNTRL,AMS,17
7,2015,8,5,CNTRL,SHE,90
7,2015,8,5,CNTRL,SHE,91
8,2015,8,5,CNTRL,SDF,11
8,2015,8,5,CNTRL,SIN,7
9,2015,8,5,CNTRL,AMS,4
9,2015,8,5,CNTRL,AMS,7
9,2015,8,5,CNTRL,SIN,3
10,2015,8,5,CNTRL,AMS,3
10,2015,8,5,CNTRL,SHE,92
10,2015,8,5,CNTRL,SIN,2
11,2015,8,5,CNTRL,SDF,606
20,2015,8,5,CNTRL,AMS,1
21,2015,8,5,CNTRL,AMS,2
21,2015,8,5,CNTRL,SDF,496
30,2015,8,5,CNTRL,SIN,1
7,2015,7,5,CNTRL,AMS,4
7,2015,7,5,CNTRL,AMS,5
7,2015,7,5,CNTRL,SDF,606
7,2015,7,5,CNTRL,SIN,4
7,2015,7,5,CNTRL,SIN,7
8,2015,7,5,CNTRL,SDF,4
9,2015,7,5,CNTRL,SHE,102
10,2015,7,5,CNTRL,AMS,15
11,2015,7,5,CNTRL,SDF,595
12,2015,7,5,CNTRL,SDF,728
13,2015,7,5,CNTRL,SIN,2
14,2015,7,5,CNTRL,AMS,2
14,2015,7,5,CNTRL,SIN,3
15,2015,7,5,CNTRL,SDF,496
18,2015,7,5,CNTRL,SHE,3000
20,2015,7,5,CNTRL,AMS,1
28,2015,7,5,CNTRL,SIN,1
7,2015,6,5,CNTRL,AMS,38
7,2015,6,5,CNTRL,SHE,1
8,2015,6,5,CNTRL,SDF,728
9,2015,6,5,CNTRL,SIN,4
10,2015,6,5,CNTRL,AMS,3
10,2015,6,5,CNTRL,SIN,3
12,2015,6,5,CNTRL,AMS,4
12,2015,6,5,CNTRL,SHE,3000
13,2015,6,5,CNTRL,SIN,2
14,2015,6,5,CNTRL,SHE,20
14,2015,6,5,CNTRL,SHE,1700
16,2015,6,5,CNTRL,AMS,2
16,2015,6,5,CNTRL,SDF,496
17,2015,6,5,CNTRL,SIN,1
18,2015,6,5,CNTRL,AMS,1
7,2015,5,5,CNTRL,SHE,1
7,2015,5,5,CNTRL,SHE,86
8,2015,5,5,CNTRL,AMS,5
8,2015,5,5,CNTRL,SDF,595
