Dimension,ShipmentCount,YearNumber,MonthNumber,upscustomerid,OriginLocCode,DestLocCode,StandardWeightInKG,commoditycode,PieceCt,ActualWeightUOM,RatedWeightUOM,DestSvcCenter,destSvcCenterCountry,DestTariffPt,OriginSvcCenter,OriginSvcCenterCountry,originTariffPt,ds,qwe,ewsdf,CustomStdlnrUOM,CustomStdWidth,CustomStdHeight,CustomStdHeight.1
1.0,8,2016,11,18,CNTRL,CKG,25,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
33088.0,8,2016,8,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22.0,32.0,47.0,CM,22.0,32.0,47.0
1140000.0,7,2017,7,18,CNTRL,CKG,1863,94KZ,2,LB,KG,HOU,US,HOU,CKG,CN,CKG,100.0,95.0,120.0,CM,100.0,95.0,120.0
1.0,16,2016,9,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
27759.686419999998,30,2017,11,17,CNTRL,HOU,2,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,11.0,11.0,14.0,IN,27.94,27.94,35.56
5161.92516,8,2016,2,17,CNTRL,SFO,4,MS,1,LB,LB,YVR,CA,YVR,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
62926.32576,7,2015,5,17,CNTRL,HOU,15,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,16.0,12.0,20.0,IN,40.64,30.48,50.8
22848.0,9,2017,9,18,CNTRL,CKG,5,94KZ,2,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,14.0,34.0,48.0,CM,14.0,34.0,48.0
6194.310192,34,2017,5,17,CNTRL,ELP,2,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,7.0,6.0,9.0,IN,17.78,15.24,22.86
477000.0,9,2017,7,18,CNTRL,CKG,73,94KZ,1,KG,KG,ATL,US,ATL,CKG,CN,CKG,53.0,75.0,120.0,CM,53.0,75.0,120.0
25740.0,9,2014,8,18,CNTRL,SHA,6,94KZ,2,KG,KG,YYZ,CA,YYZ,SHA,CN,SHA,33.0,15.0,52.0,CM,33.0,15.0,52.0
11781.0,8,2015,3,18,CNTRL,CKG,4,94KZ,1,KG,KG,YHZ,CA,YHZ,CKG,CN,CKG,7.0,33.0,51.0,CM,7.0,33.0,51.0
5161.92516,37,2015,2,17,CNTRL,SFO,4,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
1.0,12,2015,6,18,CNTRL,CKG,35,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
129000.0,13,2014,10,18,CNTRL,CKG,15,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,50.0,43.0,60.0,CM,50.0,43.0,60.0
33036.321019999996,9,2014,9,17,CNTRL,HOU,1,MS,1,KG,LB,YYZ,CA,YYZ,HOU,US,HOU,12.0,12.0,14.0,IN,30.48,30.48,35.56
33088.0,8,2017,2,18,CNTRL,CKG,7,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22.0,32.0,47.0,CM,22.0,32.0,47.0
33088.0,9,2016,4,18,CNTRL,CKG,8,94KZ,3,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,22.0,32.0,47.0,CM,22.0,32.0,47.0
1.0,13,2016,7,18,CNTRL,CKG,120,44CI,12,KG,KG,ONT,US,ONT,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
2753.0267519999998,8,2015,5,17,CNTRL,HOU,2,MS,1,LB,LB,YVR,CA,YVR,HOU,US,HOU,12.0,1.0,14.0,IN,30.48,2.54,35.56
1.0,8,2015,6,18,CNTRL,CKG,34,94KZ,10,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,8,2017,6,18,CNTRL,CKG,496,94KZ,250,KG,KG,DFW,US,DFW,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
15000.0,27,2017,1,7,CNTRL,YYZ,9,MS,1,LB,LB,MDT,US,MDT,YYZ,CA,YYZ,25.0,20.0,30.0,CM,25.0,20.0,30.0
1.0,16,2015,8,18,CNTRL,CKG,14,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,9,2015,3,18,CNTRL,CKG,68,94KZ,20,KG,KG,ORD,US,ORD,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1.0,7,2016,11,18,CNTRL,KUB,11,94KZ,2,KG,KG,YYZ,CA,YYZ,KUB,CN,KUB,1.0,1.0,1.0,CM,1.0,1.0,1.0
15731.58144,8,2015,9,7,CNTRL,YYZ,9,MS,1,LB,LB,MDT,US,MDT,YYZ,CA,YYZ,10.0,8.0,12.0,IN,25.4,20.32,30.48
10528.0,53,2015,3,18,CNTRL,CKG,3,94KZ,1,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,7.0,32.0,47.0,CM,7.0,32.0,47.0
1.0,7,2017,2,18,CNTRL,CKG,115,44CI,8,KG,KG,ONT,US,ONT,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1321452.841,18,2015,4,3,CNTRL,STL,13605,ECN,41,LB,KG,BRU,BE,BRU,STL,US,STL,40.0,42.0,48.0,IN,101.6,106.68,121.92
138006.0,7,2017,12,8,CNTRL,SLC,77,1678,1,LB,KG,ROM,IT,BRI,SLC,US,SLC,51.0,41.0,66.0,CM,51.0,41.0,66.0
1.0,10,2015,12,18,CNTRL,CKG,13,94KZ,5,KG,KG,YYZ,CA,YYZ,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
496080.0,9,2018,2,18,CNTRL,CKG,84,94KZ,1,KG,KG,JFK,US,JFK,CKG,CN,CKG,53.0,78.0,120.0,CM,53.0,78.0,120.0
5161.92516,8,2016,9,17,CNTRL,SFO,7,MS,1,LB,LB,YYZ,CA,YYZ,SFO,US,SFO,7.0,9.0,5.0,IN,17.78,22.86,12.7
6194.310192,24,2017,6,17,CNTRL,ELP,2,MS,1,LB,LB,YYZ,CA,YYZ,ELP,US,ELP,7.0,6.0,9.0,IN,17.78,15.24,22.86
33036.321019999996,20,2015,9,17,CNTRL,HOU,7,MS,1,LB,LB,YYZ,CA,YYZ,HOU,US,HOU,12.0,12.0,14.0,IN,30.48,30.48,35.56
1.0,7,2015,8,18,CNTRL,CKG,2756,94KZ,200,LB,KG,IND,US,IND,CKG,CN,CKG,1.0,1.0,1.0,CM,1.0,1.0,1.0
1660783.053,7,2015,5,3,CNTRL,PHL,13918,ECN,27,LB,KG,BRU,BE,BRU,PHL,US,PHL,41.4,51.0,48.0,IN,105.156,129.54,121.92
