ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
8,2015,4,18,CNTRL,CKG,169
26,2015,4,18,CNTRL,CKG,31
11,2014,10,18,CNTRL,CKG,182
7,2016,2,18,CNTRL,KUB,78
10,2017,2,5,CNTRL,SDF,728
25,2015,7,18,CNTRL,CKG,75
9,2017,10,17,CNTRL,HOU,10
20,2017,5,18,CNTRL,CKG,23
31,2015,7,18,CNTRL,KUB,6
9,2017,6,18,CNTRL,CKG,164
14,2017,1,17,CNTRL,ELP,77
21,2017,3,18,CNTRL,CKG,69
37,2016,5,18,CNTRL,KUB,5
13,2015,7,17,CNTRL,HOU,40
88,2017,10,18,CNTRL,CKG,29
7,2014,9,5,CNTRL,AMS,71
13,2015,7,18,CNTRL,KUB,33
8,2015,4,18,CNTRL,KUB,72
8,2015,3,17,CNTRL,PRG,1
12,2017,1,18,CNTRL,CKG,89
68,2016,3,18,CNTRL,CKG,32
42,2018,1,18,CNTRL,CKG,43
9,2015,6,18,CNTRL,CKG,159
7,2014,10,18,CNTRL,CKG,483
32,2014,11,17,CNTRL,HOU,7
7,2016,11,18,CNTRL,CKG,120
38,2017,8,18,CNTRL,CKG,43
18,2015,9,18,CNTRL,CKG,146
8,2014,12,17,CNTRL,HOU,342
18,2016,1,18,CNTRL,CKG,88
8,2016,3,18,CNTRL,KUB,67
9,2014,12,18,CNTRL,CKG,157
23,2014,9,18,CNTRL,KUB,11
10,2016,9,17,CNTRL,HOU,10
10,2015,2,17,CNTRL,HOU,121
18,2014,12,5,CNTRL,AMS,3
24,2015,7,17,CNTRL,HOU,15
9,2015,6,18,CNTRL,CKG,81
17,2017,7,18,CNTRL,CKG,96
130,2017,2,17,CNTRL,HOU,1
7,2016,9,7,CNTRL,CTU,30
18,2017,6,18,CNTRL,CKG,98
9,2015,5,18,CNTRL,CKG,86
19,2014,8,17,CNTRL,HOU,9
22,2014,9,18,CNTRL,CKG,14
9,2015,2,3,CNTRL,ONT,2
13,2015,12,18,CNTRL,CKG,287
35,2016,1,18,CNTRL,CKG,5
12,2018,2,18,CNTRL,CKG,11
12,2017,2,18,CNTRL,CKG,56
19,2017,7,18,CNTRL,CKG,88
7,2016,8,18,CNTRL,ELP,82
8,2015,6,3,CNTRL,ONT,97
7,2016,3,18,CNTRL,CKG,119
25,2016,12,18,CNTRL,CKG,34
9,2014,11,18,CNTRL,KUB,103
15,2017,5,18,CNTRL,CKG,91
12,2017,6,18,CNTRL,CKG,82
7,2017,9,17,CNTRL,ELP,187
8,2017,6,18,CNTRL,KUB,11
7,2017,10,18,CNTRL,CKG,136
9,2016,6,18,CNTRL,KUB,59
16,2015,4,18,CNTRL,CKG,30
17,2014,12,18,CNTRL,KUB,36
8,2015,6,18,CNTRL,CKG,419
