ShipmentCount,YearNumber,MonthNumber,upsid,OriginLocCode,DestLocCode,StandardWeightInKG
8,2017,8,18,CNTRL,CKG,130
8,2014,12,18,CNTRL,KUB,85
9,2016,5,18,CNTRL,HKG,9
63,2016,11,18,CNTRL,CKG,37
7,2017,6,18,CNTRL,CKG,179
9,2014,12,18,CNTRL,KUB,37
40,2014,8,17,CNTRL,HOU,1
28,2015,11,18,CNTRL,CKG,33
76,2016,8,18,CNTRL,CKG,29
22,2016,2,17,CNTRL,HOU,18
9,2014,12,18,CNTRL,KUB,15
8,2014,10,18,CNTRL,KUB,87
7,2015,2,18,CNTRL,CKG,240
8,2014,10,18,CNTRL,CKG,111
22,2017,3,18,CNTRL,CKG,121
15,2015,7,18,CNTRL,KUB,69
21,2015,8,18,CNTRL,CKG,30
21,2016,6,18,CNTRL,CKG,53
8,2015,6,7,CNTRL,PHX,507
14,2014,10,18,CNTRL,CKG,148
20,2017,5,5,CNTRL,SHA,3
14,2017,1,18,CNTRL,CKG,123
7,2014,8,18,CNTRL,CKG,82
17,2015,5,18,CNTRL,CKG,94
7,2017,4,17,CNTRL,HOU,18
16,2015,4,18,CNTRL,CKG,79
15,2017,11,18,CNTRL,CKG,103
23,2017,10,18,CNTRL,CKG,42
16,2016,11,18,CNTRL,CKG,131
10,2017,11,18,CNTRL,CKG,151
8,2016,1,18,CNTRL,CKG,113
37,2016,7,18,CNTRL,CKG,34
12,2014,8,17,CNTRL,HOU,15
24,2016,5,17,CNTRL,ELP,57
19,2016,5,5,CNTRL,SIN,1
8,2018,1,18,CNTRL,CKG,112
32,2015,7,17,CNTRL,HOU,13
9,2014,10,18,CNTRL,CKG,98
14,2017,7,18,CNTRL,CKG,103
15,2015,7,18,CNTRL,CKG,76
35,2017,7,18,CNTRL,CKG,45
10,2018,1,18,CNTRL,CKG,21
14,2017,12,7,CNTRL,PEN,1
7,2015,3,18,CNTRL,CKG,309
7,2017,3,18,CNTRL,CKG,1
18,2016,7,17,CNTRL,ELP,53
7,2017,7,17,CNTRL,HOU,27
10,2018,1,5,CNTRL,SHA,13
27,2015,2,17,CNTRL,HOU,15
27,2018,1,18,CNTRL,CKG,83
10,2015,4,18,CNTRL,CKG,57
7,2017,7,18,CNTRL,CKG,1863
12,2015,2,18,CNTRL,CKG,96
10,2015,6,18,CNTRL,CKG,129
10,2015,3,7,CNTRL,PHX,9
15,2015,7,5,CNTRL,SDF,496
10,2016,3,18,CNTRL,CKG,145
13,2015,12,17,CNTRL,HOU,26
7,2016,5,18,CNTRL,HKG,16
9,2015,5,18,CNTRL,CKG,280
20,2015,4,5,CNTRL,AMS,1
7,2014,9,18,CNTRL,KUB,27
7,2017,1,17,CNTRL,HOU,11
8,2016,10,17,CNTRL,ELP,68
7,2015,2,17,CNTRL,HOU,44
23,2015,1,18,CNTRL,CKG,91
8,2017,7,18,CNTRL,CKG,195
27,2017,9,18,CNTRL,CKG,64
26,2014,12,18,CNTRL,CKG,74
11,2015,3,18,CNTRL,CKG,92
9,2014,9,18,CNTRL,KUB,100
36,2016,6,18,CNTRL,CKG,68
9,2015,9,17,CNTRL,HOU,35
13,2016,12,18,CNTRL,CKG,67
13,2017,10,18,CNTRL,CKG,20
15,2017,6,18,CNTRL,CKG,113
11,2016,9,18,CNTRL,CKG,22
19,2017,5,18,CNTRL,CKG,50
44,2014,12,18,CNTRL,CKG,32
35,2016,11,18,CNTRL,CKG,42
14,2015,11,5,CNTRL,SIN,2
15,2016,11,17,CNTRL,ELP,55
29,2015,12,18,CNTRL,CKG,65
17,2015,5,18,CNTRL,CKG,146
7,2015,11,17,CNTRL,HOU,4
30,2016,4,18,CNTRL,CKG,46
9,2015,7,18,CNTRL,CKG,281
9,2015,10,18,CNTRL,CKG,150
21,2015,4,18,CNTRL,HKG,3
8,2016,12,7,CNTRL,YYZ,2
8,2016,3,3,CNTRL,ONT,7
18,2017,11,5,CNTRL,SHA,4
7,2016,3,18,CNTRL,CKG,137
7,2016,6,17,CNTRL,ELP,11
43,2015,9,17,CNTRL,HOU,2
14,2017,5,8,CNTRL,SLC,77
35,2016,10,18,CNTRL,CKG,10
7,2015,3,18,CNTRL,CKG,136
11,2015,3,18,CNTRL,KUB,69
9,2015,1,18,CNTRL,KUB,31
15,2015,2,18,CNTRL,CKG,31
16,2015,6,5,CNTRL,SDF,496
17,2017,1,18,CNTRL,CKG,56
8,2017,10,18,CNTRL,CKG,102
15,2017,7,18,CNTRL,CKG,152
91,2015,10,17,CNTRL,SFO,2
60,2016,2,17,CNTRL,HOU,7
11,2017,1,18,CNTRL,CKG,105
8,2015,11,18,CNTRL,KUB,12
7,2014,10,18,CNTRL,CKG,287
8,2016,12,18,CNTRL,CKG,201
17,2014,12,3,CNTRL,ONT,4
17,2016,5,18,CNTRL,KUB,4
12,2016,3,3,CNTRL,BOS,4
19,2015,8,18,CNTRL,CKG,81
27,2017,3,5,CNTRL,SIN,2
23,2017,6,18,CNTRL,CKG,14
34,2016,7,18,CNTRL,CKG,51
10,2014,8,17,CNTRL,HOU,293
8,2015,3,7,CNTRL,SAN,13
9,2016,4,18,CNTRL,CKG,80
11,2014,10,18,CNTRL,CKG,115
20,2017,5,18,CNTRL,CKG,23
159,2016,3,17,CNTRL,HOU,1
10,2017,8,18,CNTRL,CKG,145
9,2014,10,17,CNTRL,HOU,93
9,2014,10,18,CNTRL,CKG,72
240,2016,12,18,CNTRL,CKG,3
50,2017,4,17,CNTRL,HOU,3
7,2015,9,5,CNTRL,SIN,4
11,2015,3,18,CNTRL,CKG,111
11,2016,8,17,CNTRL,HOU,17
7,2015,7,18,CNTRL,KUB,110
8,2017,5,18,CNTRL,CKG,519
11,2015,10,18,CNTRL,CKG,68
12,2017,6,17,CNTRL,ELP,37
7,2014,10,5,CNTRL,SDF,485
7,2016,11,17,CNTRL,ELP,77
8,2016,11,18,CNTRL,CKG,122
173,2017,6,17,CNTRL,HOU,1
11,2015,4,8,CNTRL,ORD,152
13,2017,9,18,CNTRL,KUB,40
23,2014,12,18,CNTRL,CKG,38
8,2015,2,18,CNTRL,CKG,182
9,2016,4,17,CNTRL,HOU,11
7,2017,2,7,CNTRL,YYZ,18
